City,Total Population,Median Income,Tax Rate %,Total Households,Average Household Size,Households With Children Under 18,Married Households,Co-habiting Couple Households,Female only Households,Male Only Households,Labor Force,Employed,Unemployed,Unemployed Rate (%),Grade < 9,Grade 9-12,Highschool Diploma,Some College,Associate Degree,Undergraduate Degree,Graduate Degree,Grade < 9 (%),Grade 9-12 (%),Highschool Diploma (%),Some College (%),Associate Degree (%),Undergraduate Degree (%),Graduate Degree (%),0-15 (%),15-17 (%),18-24 (%),25-34 (%),35-54 (%),55-64 (%),65+ (%),0 to 15,15 to 17,18 to 24,25 to 34,35 to 54,55 to 64,65 plus
Downey,114355,84236,10,34788,3.22,11959,16760,3083,9253,5692,56800,53700,3200,5.6,7773,5918,18788,17377,6212,12736,5544,10.5,8,25.3,23.4,8.4,17.1,7.5,18.06,4.5,9.56,15.4,27.87,11.42,13.19,20416,5089,10803,17409,31513,12909,14913
West Covina,109501,96219,9.5,32285,3.32,8701,16689,2088,9425,4083,52300,49400,2900,5.6,5451,4328,20317,14966,6608,16057,6450,7.3,5.8,27.4,20.2,8.9,21.6,8.7,16.31,3.39,9.18,15.03,25.23,14.13,16.73,17641,3666,9930,16263,27292,15284,18097
El Monte,109450,99811,10,29660,3.61,8959,13736,2566,7188,6170,51200,48300,2900,5.7,18527,10465,20997,11862,3686,8432,1740,24.5,13.8,27.7,15.7,4.9,11.1,2.3,12.47,3.46,7.82,18.71,27.44,12.07,18.03,220,61,138,330,484,213,318
Inglewood,107762,67563,10,35773,2.91,9285,12556,2107,13395,7715,52800,49100,3700,7.1,9980,7030,16555,18828,5699,11070,5471,13.4,9.4,22.2,25.2,7.6,14.8,7.3,17.63,3.65,9.43,15.87,27.67,12.73,13.03,18825,3898,10067,16949,29554,13592,13921
Burbank,107337,91455,10.25,43349,2.44,10493,18788,2930,13067,8564,59700,55400,4300,7.3,2683,3042,12395,16884,7389,23431,10364,3.5,4,16.3,22.2,9.7,30.8,13.6,15.74,2.99,7.83,16.57,28.96,12.25,15.66,16746,3183,8325,17630,30805,13036,16664
Norwalk,102773,91259,10.25,26508,3.74,9008,14613,1975,6282,3638,50300,47200,3100,6.2,9584,6193,20193,14528,5166,10922,3218,13.7,8.9,28.9,20.8,7.4,15.6,4.6,18.9,3.96,9.4,16.83,25.44,12.02,13.45,19255,4039,9575,17147,25925,12245,13707
Compton,95740,69728,10.25,24617,3.83,8842,11037,1451,8201,3928,39000,35900,3100,7.8,13581,8302,16197,11309,2972,3919,1447,23.5,14.4,28.1,19.6,5.1,6.8,2.5,23.25,4.65,9.74,14.37,26.23,11.4,10.36,22046,4412,9232,13629,24872,10812,9819
Carson,95558,103045,10.25,26084,3.56,6988,13912,1329,6788,4055,45800,43100,2700,6,5946,5662,14035,14510,5474,13287,5180,9.3,8.8,21.9,22.6,8.5,20.7,8.1,15.39,4.13,9.11,14.21,25.52,14.46,17.2,14538,3898,8604,13423,24108,13659,16245
Santa Monica,93076,106797,10.25,46207,1.95,7175,14543,3383,15996,12285,56700,53400,3300,5.8,2278,1999,5889,9188,3942,28116,21334,3.1,2.7,8.1,12.6,5.4,38.6,29.3,12.67,2.28,5.31,18.64,28.48,13.8,18.81,11682,2102,4895,17180,26254,12715,17340
South Gate,92726,67188,10.25,23920,3.86,8912,12241,2212,5751,3716,42800,40200,2600,6,14854,9491,15067,10578,2944,4732,1300,25.2,16.1,25.6,17.9,5,8,2.2,20.19,4.63,11.06,15.85,26.02,10.95,11.29,18656,4281,10216,14647,24033,10120,10428
Hawthorne,88083,72298,10.25,29292,2.94,9705,10893,2127,9599,6673,43900,41400,2600,5.8,6400,5857,13301,12528,3901,8952,3978,11.7,10.7,24.2,22.8,7.1,16.3,7.2,20.72,4.1,9.76,18.47,27.36,10.57,9.02,18026,3567,8486,16061,23794,9195,7849
